light_hours_mean,Rs_mean,date,rain_mean,T_mean,RH_mean,P_mean,u_2_mean,T_max,T_min
11.0,16.82,2024-10-01,0.0,16.495652173913044,58.65217391304348,1013.8695652173913,2.682608695652174,22.3,10.6
11.1,16.33,2024-10-02,0.0,14.408333333333331,52.0,1016.9583333333334,2.245833333333333,20.9,7.6
11.0,16.26,2024-10-03,0.0,15.304166666666667,56.5,1016.0416666666666,2.4166666666666665,23.4,7.8
9.4,16.02,2024-10-04,0.0,15.520833333333334,52.75,1014.625,2.7916666666666665,23.0,7.2
1.5,11.2,2024-10-05,0.0,17.958333333333332,59.75,1013.4583333333334,2.158333333333333,23.4,12.9
5.4,12.36,2024-10-06,0.0,20.05,61.083333333333336,1013.375,1.6625,25.2,15.0
0.0,4.7,2024-10-07,0.0,18.0375,73.70833333333333,1016.0416666666666,4.1875,20.5,13.6
3.7,10.87,2024-10-08,0.0,17.025000000000002,80.25,1013.4583333333334,2.058333333333333,22.9,11.6
2.9,11.05,2024-10-09,0.0,19.15,75.25,1006.1666666666666,3.15,26.3,14.0
8.9,14.3,2024-10-10,0.0,18.583333333333332,59.166666666666664,1008.75,3.7125,23.7,14.1
8.1,14.35,2024-10-11,0.0,17.883333333333333,64.29166666666667,1009.0833333333334,2.9875000000000003,26.5,9.5
3.6,10.61,2024-10-12,0.0,20.304166666666667,64.25,1010.875,1.2,26.4,14.2
1.8,6.9,2024-10-13,0.0,20.366666666666667,65.20833333333333,1009.4166666666666,1.5875,25.0,15.9
8.8,13.98,2024-10-14,0.0,20.289583333333333,64.60416666666666,1009.875,3.7208333333333337,24.65,12.6
4.6,12.65,2024-10-15,0.0,20.2125,64.0,1010.3333333333334,5.854166666666667,24.3,15.0
4.3,7.83,2024-10-16,0.0,19.55,69.45833333333333,1013.875,3.8,22.9,15.6
0.0,3.87,2024-10-17,0.2666666666666666,18.854166666666668,84.83333333333333,1008.4166666666666,2.5541666666666667,21.1,16.8
0.9,9.32,2024-10-18,0.9708333333333332,17.408333333333335,83.83333333333333,1007.7083333333334,7.266666666666667,19.8,15.7
6.2,12.2,2024-10-19,0.0083333333333333,12.3375,57.541666666666664,1023.7083333333334,9.641666666666667,16.8,8.8
0.0,5.8,2024-10-20,0.0375,8.366666666666667,60.958333333333336,1022.4583333333334,3.841666666666667,10.1,6.9
0.2,10.28,2024-10-21,0.0,9.458333333333334,81.33333333333333,1014.4583333333334,2.370833333333333,12.9,5.3
8.7,12.75,2024-10-22,0.0,12.554166666666667,78.29166666666667,1015.7083333333334,2.2291666666666665,17.6,8.5
